Time [s],Linear Acceleration x [m/s^2],Linear Acceleration y [m/s^2],Linear Acceleration z [m/s^2]
0,-0.029122722093657155,0.007023833199650976,0.5220210475705345
1,-0.10491639011519574,0.12123872621963568,0.6210223823775599
2,-0.11477929623624919,0.049427564870849046,0.9014577460121849
3,0.05695636464216208,-0.03302062157335844,1.1174183388526928
4,-0.00023159444085643472,0.20367538848732203,1.0689595607040037
5,-0.10025778892724879,-0.06899093547286607,1.0808910867418389
6,-0.03538944706007467,-0.21919593422865835,1.1678691663388376
7,0.009546597087074744,-0.23809111420091905,1.198096822402651
8,-0.00880503195389595,-0.06451291545619815,1.2576839123596093
9,0.17774948274529168,-0.04441103464025556,1.1246001463248552
10,-0.017371802128437447,0.08050176360273653,1.0942899960942798
11,0.010843142630750258,-0.33545430105658675,0.9702059825436942
12,0.03136380375688135,-0.09876361878928452,0.9545414653502691
13,0.18769032428533447,-0.009238053397856442,0.9308954226145346
14,0.0030101869094960516,0.23543771861430446,0.844238646845753
15,-0.004201428883106839,0.013989025572404787,0.6696938168551371
16,0.09367924432547933,-0.006435657037040094,0.5842065562206564
17,0.16330270122643556,-0.03924675254782459,0.45964015308245265
18,0.03955968566411694,-0.021112557997404344,0.1506655538219588
19,-0.06594219097627191,0.06261959061384377,0.23726559412249212
20,0.1734023276998691,0.05132490936716754,0.057063089547754284
21,-0.14153253468811314,-0.022155227017870552,-0.09411603823895986
22,0.1877934715718715,0.03293914073091031,-0.12305275226547827
23,-0.04648520905800541,-0.06849957002133425,-0.14675434710148536
24,-0.09897823443033633,-0.0210710235402675,-0.23639270953365174
25,0.05441031347649092,-0.026854463384499823,-0.2178010592157323
26,-0.08968774396030774,0.030252421645396734,-0.26602326683998917
27,-0.015082453122954823,0.0727164855721617,0.018636649308909722
28,-0.15818009911406303,0.011258233853358064,0.03977451429067275
29,-0.06841395919887132,-0.10952527203640242,-0.15923645599301006
30,-0.10845900114244039,0.05857837998446557,0.20288751213894138
31,-0.05358419022132829,-0.08925212974376717,0.12510611929980958
32,-0.015177678712938125,0.06411898417866183,0.20458843721576353
33,0.02291156518024208,0.13233887579353482,0.49589386228612115
34,-0.05912880793008242,-0.16889547941548722,0.9180266428269809
35,-0.06685682231274316,-0.17354296970539773,0.8789174989969132
36,-0.06541529343259829,0.02244791843370758,0.8525628701321961
37,0.0538523706287003,0.12008505708655337,1.067340197617065
38,0.07593471518847894,-0.12211498263569519,1.1375170490010134
39,0.119635958167232,-0.11146002201477932,1.134609646375126
40,-0.10964145684642662,-0.13545504580268933,1.2367732297112526
41,-0.1796616094592648,-0.05071405305614263,1.2556248807888117
42,0.03146628740132999,-0.0861466963582826,1.030956820160101
43,-0.09456931262097439,0.06917585677702286,1.170426398675877
44,0.01628420250183824,0.04680273484369363,1.1393977004698561
